villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
583129,Jammu Narayana Puram (R) (Part),,583129,7431,Vizianagaram Urban,Vizianagaram Urban,00000,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596696,Muthukuru,,596696,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
930562,Nandyala,నంద్యాల,000000,5284,Nandyal Rural,Nandyal Rural,05284,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
591343,Narasa Puram,,591343,5139,Ongole Rural,Ongole Rural,05139,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596722,Kurchivedu,,596722,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
595085,Kurugunta,,595085,7426,Anantapur Urban,Anantapur Urban,00000,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596713,Lakshmambapuram,,596713,5421,Chittoor Rural,Chittoor Rural,05421,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588426,Madepalle,,588426,7428,Eluru Urban,Eluru Urban,00000,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588428,Manuru,,588428,7428,Eluru Urban,Eluru Urban,00000,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596719,Pachanapalle,,596719,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
595097,Papampeta (Ct),,595097,7426,Anantapur Urban,Anantapur Urban,00000,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
595087,Kamarupalle,,595087,7426,Anantapur Urban,Anantapur Urban,00000,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
595093,Kandakur,,595093,7426,Anantapur Urban,Anantapur Urban,00000,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588425,Katlampudi,,588425,7428,Eluru Urban,Eluru Urban,00000,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
930505,Kattamanchi,కట్టమంచి,000000,5421,Chittoor Rural,Chittoor Rural,05421,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
594306,Kothapalli,,594306,5284,Nandyal Rural,Nandyal Rural,05284,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596715,Perumalla Khandriga,,596715,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596720,Settiappam Thangal,,596720,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596711,Siddampalle,,596711,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596721,S.Venkatapuram,,596721,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596717,Thalambedu,,596717,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588434,Pydichintapadu,,588434,7428,Eluru Urban,Eluru Urban,00000,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
594302,Rayamalpuram,,594302,7425,Nandyal Urban,Nandyal Urban,00000,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
591338,Sarvereddy Palem,,591338,7430,Ongole Urban,Ongole Urban,00000,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
588437,Satrampadu (Ct),,588437,4966,Eluru Rural,Eluru Rural,04966,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
591330,Ulichi,,591330,7430,Ongole Urban,Ongole Urban,00000,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
595090,Upparapalle,,595090,7426,Anantapur Urban,Anantapur Urban,00000,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
596714,Varadarajulapalle,,596714,7427,Chittoor Urban,Chittoor Urban,00000,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,17-12-2024
585584,Balabadrapadu,,585584,4851,Koyyuru,,04851,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
585252,Balajipeta,,585252,4849,Chinthapalli,Chinthapalli,04849,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580852,Balakavi Valasa,,580852,4786,Regidi Amadalavalasa,,04786,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584748,Balamalu,,584748,4847,Paderu,,04847,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
587006,Balarampuram,,587006,4891,Rowthulapudi,,04891,746,Kakinada,Kakinada,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
595489,Balasamudram,,595489,5360,Tanakal,,05360,754,Sri Sathya Sai,Sri Sathya Sai,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
592320,Balasamudram,,592320,5187,Venkatagiri,,05187,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581435,Balaseema,,581435,4799,Narasannapeta,,04799,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584199,Baliaguda @ Cheedivalasa,,584199,4845,Ananthagiri,,04845,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
585795,Balighattam,,585795,4854,Narsipatnam,,04854,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586941,Balijapadu,,586941,4888,Rajavommangi,,04888,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584931,Balijipeta,,584931,4848,G.Madugula,,04848,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583312,Baliyaguda,,583312,4841,Munchingi Puttu,,04841,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584371,Ballagaruvu,,584371,4845,Ananthagiri,,04845,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
582258,Ballakrishnapuram,,582258,4814,Seethanagaram,,04814,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584184,Ballamamidi,,584184,4845,Ananthagiri,,04845,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583014,Ballanki Tuni K.P.Rajapuram,,583014,4832,Vepada,,04832,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
591235,Ballavaram,,591235,5135,Veligandla,,05135,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
588123,Ballipadu,,588123,4950,Tallapudi,,04950,505,East Godavari,EAST GODAVARI                                     ,545,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
591287,Balli Palle,,591287,5136,Kanigiri,,05136,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
589234,Balliparru,,589234,5012,Gannavaram,,05012,510,Krishna,KRISHNA                                           ,547,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
593412,Balupalle,,593412,5231,Chinthakommadinne,,05231,504,Y.S.R. Kadapa,వై.ఎస్.ఆర్. కడప,551,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580114,Bammidi,,580114,4772,Kothuru,,04772,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583020,Banadi,,583020,4832,Vepada,,04832,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594393,Banaganapalle (Ct),,594393,5288,Banaganapalli,బనగానపల్లి,05288,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594172,Banavanur,,594172,5275,Aspari,,05275,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
592444,Bandarugunta,,592444,5189,Ozili,ఓజిలి,05189,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596911,Bandasettipalle (Rural),,596911,5427,Kuppam,,05427,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
590807,Bandellapaya,,590807,5114,Darsi,,05114,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
579083,Bandigumpu,,579083,4732,Chinturu,Chinturu,04732,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596153,Bandlapai,,596153,5393,Nimmanapalle,,05393,753,Annamayya,Annamayya,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
595220,Bandlapalle,,595220,5340,Talupula,,05340,754,Sri Sathya Sai,Sri Sathya Sai,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
595634,Bandrevu,,595634,5369,Peddamandyam,,05369,753,Annamayya,Annamayya,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594698,Bandur,,594698,5307,Bommanahal,,05307,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586030,Bangarammapalem,,586030,4861,Sabbavaram,,04861,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
930485,Bangarammapeta,బంగారమ్మపేట,000000,4817,Salur,,04817,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584672,Bangarumetta,,584672,4847,Paderu,,04847,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583626,Bangarumetta,,583626,4842,Peda Bayalu,,04842,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
929849,Bangarupeta,బంగారుపేట,000000,5187,Venkatagiri,,05187,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583561,Bangaru Puttu,,583561,4841,Munchingi Puttu,,04841,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580315,Banjaruyuvaraja Puram,,580315,4776,Mandasa,,04776,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
582341,Bankuruvalasa,,582341,4816,Bobbili,,04816,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580281,Bantukotturu,,580281,4775,Palasa,,04775,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594394,Banumukkala (Ct),,594394,5288,Banaganapalli,బనగానపల్లి,05288,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
590474,Bapatla East (R),,590474,5093,Bapatla,,05093,750,Bapatla,Bapatla,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
590473,Bapatla West (R),,590473,5093,Bapatla,,05093,750,Bapatla,Bapatla,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
588366,Bapirajugudem,,588366,4964,Pedavegi,,04964,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586275,Bapiraju Kothapalle,,586275,4874,Kotauratla,,04874,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586111,Bapirajutallavalasa,,586111,4864,Padmanabham,,04864,520,Visakhapatnam,విశాఖపట్నం,544,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584892,Baram,,584892,4848,G.Madugula,,04848,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580911,Baratam,,580911,4787,Laxminarasupeta,లక్ష్మీనరసుపేట,04787,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580015,Barna,,580015,4770,Seethampeta,,04770,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580503,Baruva,,580503,4780,Sompeta,,04780,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
593810,Basaladoddi,,593810,5253,Pedda Kadubur,,05253,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594098,Basarakodu,,594098,5271,Adoni,,05271,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
592363,Basavayagunta,,592363,5187,Venkatagiri,,05187,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581434,Basivalasa,,581434,4799,Narasannapeta,,04799,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
593892,Bastipadu,,593892,5258,Kallur,,05258,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594531,Bathalur,,594531,5298,Allagadda,,05298,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594378,Bathulurupadu,,594378,5288,Banaganapalli,బనగానపల్లి,05288,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
585439,Bathunuru,,585439,4850,Gudem Kotha Veedhi,,04850,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581340,Bathuva,,581340,4797,Ganguvarisigadam,,04797,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581850,Batugudaba,,581850,4808,Gummalakshmipuram,,04808,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
588488,Bavayapalem,,588488,4968,Nidamarru,,04968,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
585265,Bayapadu,,585265,4849,Chinthapalli,Chinthapalli,04849,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581922,Bayyada,,581922,4808,Gummalakshmipuram,,04808,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596127,Bayyappagaripalle,,596127,5391,Beerongi Kothakota,బీరంగి కొత్తకోట,05391,753,Annamayya,Annamayya,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584119,Bediliguda,,584119,4845,Ananthagiri,,04845,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584463,Beeram,,584463,4846,Hukumpeta,,04846,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594512,Beeravolu,,594512,5297,Rudravaram,,05297,755,Nandyal,Nandyal,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596879,Beggilipalle,,596879,5426,Gudupalle,,05426,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580765,Bejji,,580765,4784,Palakonda,,04784,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580473,Bejjiputtuga,,580473,4779,Kaviti,,04779,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580466,Belagam,,580466,4779,Kaviti,,04779,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594431,Beldona,,594431,5291,Chippagiri,,05291,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
582180,Belugonda,,582180,4813,Makkuva,,04813,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596807,Bendanakuppam,,596807,5425,Santhipuram,,05425,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580584,Beniavooru,,580584,4782,Nandigam,,04782,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594180,Benigeri,,594180,5275,Aspari,,05275,511,Kurnool,KURNOOL                                           ,552,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
594738,Bethapalle,,594738,5310,Gooty,,05310,502,Ananthapuramu,అనంతపురము,553,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580937,Bhadri,,580937,4788,Saravakota,,04788,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580811,Bhagempeta,,580811,4785,Vangara,,04785,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580719,Bhagiradhipuram,,580719,4783,Hiramandalam,,04783,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581716,Bhagiradhipuram,,581716,4806,Etcherla,,04806,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596047,Bhakarapet,,596047,5385,Chinnagottigallu,,05385,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583449,Bhalluguda,,583449,4841,Munchingi Puttu,,04841,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
582004,Bhallukota,,582004,4809,Kurupam,,04809,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
930806,Bharisasthrulapeta,బైరిశాస్త్రులపేట,000000,4798,Amadalavalasa,,04798,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
591658,Bhaskarapuram,,591658,5155,Varikuntapadu,,05155,515,Sri Potti Sriramulu Nellore,శ్రీ పొట్టి శ్రీరాములు నెల్లూరు,550,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
587878,Bhatnavilli,,587878,4941,Amalapuram,,04941,747,Dr. B.R. Ambedkar Konaseema,డా బి ఆర్  అంబేడ్కర్ కోనసీమ,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
589851,Bhatrupalem,,589851,5045,Dachepalli,దాచేపల్లి,05045,751,Palnadu,Palnadu,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
581019,Bhavanapadu @ Madyapeta,,581019,4790,Santhabommali,,04790,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
595915,Bhavanisankarapuram,,595915,5380,Buchinaidu Kandriga,,05380,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586308,Bheemaboina Palem,,586308,4875,Makavarapalem,,04875,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596546,Bheemaganipalle,,596546,5415,Punganuru,Punganuru,05415,503,Chittoor,CHITTOOR                                          ,554,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
587892,Bheemanapalle,,587892,4942,Uppalaguptam,,04942,747,Dr. B.R. Ambedkar Konaseema,డా బి ఆర్  అంబేడ్కర్ కోనసీమ,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
583109,Bheemasingi,,583109,4835,Jami,,04835,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586478,Bheemavaram,,586478,4882,S.Rayavaram,,04882,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
584134,Bheemavaram,,584134,4845,Ananthagiri,,04845,745,Alluri Sitharama Raju,Alluri Sitharama Raju,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
595814,Bheemavaram,,595814,5378,Srikalahasti,,05378,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
596016,Bheemavaram,,596016,5384,Chandragiri,,05384,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580957,Bheempuram,,580957,4789,Tekkali,,04789,519,Srikakulam,SRIKAKULAM                                        ,542,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
930968,Bhimavaram,భీమవరం,000000,4910,Samalkota,,04910,746,Kakinada,Kakinada,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
591677,Bhimavarappadu,,591677,5156,Kondapuram,,05156,515,Sri Potti Sriramulu Nellore,శ్రీ పొట్టి శ్రీరాములు నెల్లూరు,550,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
586229,Bhogapuram,,586229,4872,Chodavaram,,04872,744,Anakapalli,Anakapalli,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
582660,Bhojarajupuram,,582660,4823,Dattirajeru,,04823,521,Vizianagaram,VIZIANAGARAM                                      ,543,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
590020,Bhrugubanda,,590020,5058,Sattenapalli,సత్తెనపల్లి,05058,751,Palnadu,Palnadu,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
580069,Bhuchendri,,580069,4770,Seethampeta,,04770,743,Parvathipuram Manyam,Parvathipuram Manyam,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
591178,Bhupana Guntla,,591178,5132,Racherla,,05132,517,Prakasam,PRAKASAM                                          ,549,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
589315,Bhyravapatnam,,589315,5015,Mandavalli,,05015,748,Eluru,Eluru,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
592433,Bhyravaram,,592433,5188,Balayapalli,బాలయపల్లి,05188,752,Tirupati,Tirupati,000,28,Andhra Pradesh,ANDHRA PRADESH,28,28-12-2025
